Ticker,Support Level 1,Support Level 2,Support Level 3,Support Level 4,Support Level 5,Support Level 6,Support Level 7
EVRG,46.51,47.28,47.97,48.98,49.75,50.55,51.19
ES,50.48,52.72,54.21,54.73,55.2,55.69,56.05
EXC,33.06,33.79,34.49,34.97,35.5,35.91,36.29
EXE,71.76,73.19,74.45,75.75,77.26,78.74,79.34
EXPE,99.46,105.65,108.63,111.48,115.25,121.23,127.89
EXPD,109.52,111.04,111.89,112.6,113.52,114.64,115.63
EXR,111.97,118.95,121.62,130.19,132.84,134.82,136.53
XOM,95.58,97.08,97.98,99.08,99.99,101.73,103.56
FFIV,147.55,151.51,156.09,159.82,164.61,168.58,171.62
FDS,393.92,404.2,410.41,415.68,420.81,423.96,426.82
FICO,795.54,843.51,865.0,900.69,1042.27,1143.06,1193.01
FAST,52.41,53.94,54.92,55.88,57.77,61.3,62.71
FRT,83.56,86.58,88.96,90.59,92.92,94.0,95.0
FDX,215.56,225.34,235.18,238.81,241.71,243.5,245.8
FIS,50.73,52.38,53.46,55.06,57.32,58.84,60.81
FITB,23.33,23.94,24.64,25.55,26.62,31.95,32.86
FSLR,130.05,139.1,145.92,149.91,154.38,158.61,162.89
FE,33.09,33.59,34.09,34.61,35.01,35.45,35.78
FI,114.06,119.54,121.6,124.99,128.51,133.38,142.91
F,9.15,9.3,9.47,9.62,9.84,9.95,10.08
FTNT,53.74,57.45,58.16,58.81,59.71,60.73,62.62
FTV,65.44,67.48,68.94,70.67,71.63,72.48,73.01
FOXA,29.08,29.47,29.83,30.23,30.58,30.98,31.63
FOX,26.84,27.24,27.52,27.89,28.23,28.53,29.22
BEN,18.74,19.27,19.54,19.81,20.07,20.48,20.88
FCX,33.37,35.26,36.14,36.75,37.39,37.78,38.24
GRMN,99.95,101.37,102.44,103.91,116.19,120.64,123.53
IT,338.86,345.95,351.73,357.16,401.14,420.1,430.38
GE,84.11,86.94,88.35,90.06,94.0,99.67,107.16
GEHC,65.05,67.61,68.82,71.39,73.53,75.99,77.01
GEN,16.84,17.49,18.35,19.25,19.91,20.47,21.15
GNRC,103.54,110.06,112.51,113.75,115.6,117.35,121.09
GD,205.91,210.44,215.94,230.19,238.3,243.85,248.75
GIS,57.39,58.58,59.28,60.02,60.63,61.13,61.46
GM,28.87,32.07,32.72,34.56,35.6,37.34,38.51
GPC,115.23,116.78,118.78,121.18,123.21,127.48,130.66
GILD,63.3,65.9,69.08,70.28,70.85,71.33,71.78
GPN,83.24,94.84,96.81,98.29,99.59,101.13,103.3
GL,80.4,83.16,88.98,101.88,104.37,105.58,106.99
GDDY,72.35,73.38,74.74,75.78,92.23,104.93,108.44
GS,301.63,309.54,314.89,324.67,335.53,367.97,374.03
HAL,21.25,25.3,26.18,27.49,28.48,29.18,30.19
HIG,68.45,69.46,70.05,71.0,74.22,78.66,85.71
HAS,44.59,47.1,48.41,51.0,53.21,54.99,55.66
HCA,240.98,249.97,263.43,268.64,275.1,283.16,296.85
DOC,15.36,15.79,16.39,17.06,17.37,17.72,17.92
HSIC,64.79,66.41,67.78,68.89,69.54,70.01,70.58
HSY,156.56,164.26,167.32,171.26,174.83,177.02,178.5
HES,128.68,130.27,132.38,133.6,135.4,137.21,138.8
HPE,14.5,14.87,15.15,15.6,15.94,16.15,16.27
HLT,143.17,148.51,150.36,153.04,166.61,179.47,192.06
HOLX,58.36,62.32,66.17,69.24,70.77,71.65,72.17
HD,281.27,288.56,297.55,310.64,316.36,323.43,329.85
HON,178.88,181.04,185.27,187.98,190.06,191.8,193.53
HRL,28.72,29.12,29.31,29.52,29.72,29.98,30.14
HST,14.21,14.48,14.71,14.91,15.22,15.6,15.84
HWM,45.17,46.27,48.16,49.35,51.3,53.42,57.12
HPQ,24.75,25.64,26.76,27.19,27.58,27.95,28.42
HUBB,283.74,297.4,302.78,309.92,317.5,321.98,329.45
HUM,252.05,256.5,263.54,269.52,283.89,294.38,310.47
HBAN,9.51,9.81,10.04,10.29,11.04,11.74,12.09
HII,186.49,191.4,194.25,197.67,203.15,208.02,211.97
IBM,124.81,131.09,134.21,137.98,145.77,154.42,161.38
IEX,180.48,186.96,190.58,193.72,195.72,198.58,200.91
IDXX,412.75,419.26,425.68,430.52,437.08,450.7,460.48
ITW,221.3,226.47,229.05,232.25,234.06,235.97,238.5
INCY,53.5,54.95,56.96,57.61,58.46,59.22,60.47
IR,62.69,64.14,65.68,66.99,69.7,73.3,76.23
PODD,155.1,165.0,170.61,176.4,184.14,190.58,193.99
INTC,19.61,20.01,20.51,21.34,22.31,23.09,24.12
ICE,106.18,108.64,110.45,112.27,113.66,123.74,126.49
IFF,63.86,66.07,71.51,73.43,74.67,76.45,77.56
IP,29.18,31.05,31.86,32.43,32.97,33.53,34.55
IPG,25.21,26.43,26.86,27.28,27.68,28.21,28.61
INTU,449.32,489.96,501.1,528.08,551.76,568.96,587.04
ISRG,285.64,298.17,307.84,315.2,327.83,339.11,374.17
IVZ,12.43,12.9,13.65,13.95,14.17,14.35,14.55
INVH,30.17,30.83,31.24,31.52,31.73,31.91,32.17
IQV,153.3,184.36,191.33,197.36,199.36,201.79,205.82
IRM,53.6,56.23,57.25,58.85,60.33,64.56,66.12
JBHT,141.2,153.72,157.47,161.58,163.72,166.33,167.98
JBL,101.78,104.74,107.17,108.42,111.41,114.03,116.96
JKHY,145.02,149.38,152.7,159.55,161.12,162.57,163.21
J,96.37,103.88,106.33,109.07,110.45,111.71,113.52
JNJ,142.26,143.33,144.34,145.53,146.97,148.81,149.88
JCI,50.59,51.94,53.74,55.37,56.82,59.05,61.62
JPM,135.22,138.96,141.05,143.98,149.88,162.62,169.42
JNPR,25.91,26.64,27.3,28.2,28.71,29.79,33.88
K,49.39,51.52,52.37,53.08,53.74,54.43,55.58
KVUE,17.65,18.08,18.24,18.48,18.79,19.29,19.62
KDP,28.53,29.55,29.88,30.11,30.45,30.75,30.93
KEY,9.11,9.6,9.93,10.46,11.14,13.03,13.32
KEYS,126.7,131.16,133.19,135.98,137.88,143.84,147.43
KMB,114.15,115.21,115.96,117.65,119.21,120.75,122.35
KIM,16.35,17.06,17.39,17.66,17.96,18.19,18.45
KMI,15.02,15.24,15.47,15.67,15.87,16.08,16.35
KKR,54.43,58.36,59.94,61.38,66.32,80.82,87.35
KLAC,449.94,458.87,472.16,489.27,532.35,554.81,600.73
KHC,28.64,29.28,29.77,30.23,30.59,30.89,31.13
KR,42.66,43.28,43.76,44.31,44.69,45.12,46.58
LHX,168.71,173.13,178.62,183.78,189.98,198.02,201.36
LH,194.17,196.95,198.79,201.21,203.91,206.6,208.55
LRCX,60.72,62.09,63.54,65.22,68.75,70.9,72.53
LW,51.76,53.55,58.04,59.94,61.82,65.62,75.71
LVS,37.86,39.22,40.55,42.14,42.99,43.62,44.1
LDOS,84.87,89.78,92.9,95.44,103.47,107.03,109.99
LEN,103.96,107.58,109.64,112.55,116.23,119.04,120.87
LII,315.08,345.03,365.91,373.82,399.85,426.31,440.57
LLY,444.81,457.92,545.64,566.32,584.2,603.14,653.68
LIN,362.58,367.18,372.52,379.7,395.12,401.64,406.17
LYV,82.06,84.11,85.6,87.61,88.91,89.68,90.66
LKQ,36.66,37.44,38.03,38.53,39.12,40.15,40.68
LMT,410.22,417.91,424.98,428.06,430.73,433.15,435.48
L,58.99,61.46,62.57,63.77,66.73,69.99,72.57
LOW,192.85,198.8,206.05,210.37,213.23,215.54,217.85
LULU,256.55,265.63,275.69,292.68,304.82,315.84,327.07
LYB,59.18,72.2,74.76,76.16,79.91,81.72,83.06
MTB,114.73,117.49,119.51,121.13,127.24,130.63,132.77
MPC,110.03,124.07,134.99,138.53,141.49,143.81,145.91
MKTX,195.85,200.46,204.9,210.75,212.96,216.01,217.62
MAR,178.32,188.22,193.7,199.47,202.94,214.25,221.73
MMC,178.48,183.8,185.96,187.58,190.12,192.16,194.77
MLM,410.84,427.5,437.89,449.49,456.07,470.7,487.6
MAS,50.95,53.6,55.08,57.57,58.92,61.43,64.2
MA,374.62,388.72,393.01,398.09,408.96,419.55,435.59
MTCH,29.1,29.96,30.41,30.99,31.32,31.69,32.28
MKC,62.72,63.97,65.64,66.39,67.45,70.17,72.35
MCD,247.08,252.74,258.4,262.91,267.02,270.55,273.09
MCK,405.26,414.8,424.66,444.41,453.03,461.97,484.51
MDT,70.42,75.2,76.5,77.34,78.07,78.72,79.25
MRK,82.3,88.9,94.79,97.53,98.55,99.27,100.12
META,283.75,295.34,303.36,312.84,325.62,348.72,399.14
MET,52.2,56.9,58.84,59.75,60.86,63.35,66.16
MTD,1038.28,1079.84,1102.84,1157.67,1182.28,1198.03,1214.44
MGM,31.46,32.81,34.23,34.9,36.37,36.85,37.49
MCHP,48.5,54.2,57.43,60.65,67.66,72.76,74.34
MU,64.63,66.36,67.7,69.33,71.78,76.88,81.6
MSFT,318.43,324.96,329.17,336.04,361.83,370.18,380.31
MAA,117.22,119.64,121.96,123.86,125.42,127.28,130.69
MRNA,27.16,32.99,35.61,41.11,44.26,57.73,71.34
MHK,82.85,91.08,95.74,98.94,101.42,103.67,106.34
MOH,284.71,289.38,294.18,298.31,304.28,308.98,312.89
TAP,50.76,52.05,53.18,54.23,54.93,55.32,56.36
MDLZ,58.4,61.07,63.47,64.18,64.82,65.42,66.0
MPWR,455.19,484.71,501.52,521.69,535.36,562.22,580.08
MNST,48.03,49.34,49.98,50.72,51.54,52.13,52.67
MCO,313.03,327.39,333.84,338.92,355.89,370.85,377.27
MS,74.12,76.7,78.51,80.26,82.04,83.1,84.9
MOS,24.72,25.28,25.88,26.33,26.64,27.11,27.6
MSI,273.43,276.15,279.73,286.72,306.19,314.47,321.34
MSCI,462.22,473.7,483.28,489.39,499.61,507.48,517.26
NDAQ,48.38,49.16,49.86,51.01,53.8,55.07,55.92
NTAP,70.65,73.09,73.72,75.19,76.27,83.79,85.74
NFLX,386.3,412.24,428.37,439.88,455.15,480.33,555.12
NEM,32.87,33.95,35.99,36.87,37.56,38.08,38.87
NWSA,19.07,19.56,20.26,20.72,21.55,23.47,24.04
NWS,19.28,20.14,20.79,21.39,22.42,24.37,25.08
NEE,53.7,54.96,56.28,58.38,60.84,63.89,65.06
NKE,59.32,70.75,72.48,74.13,76.33,77.38,78.99
NI,24.07,24.55,24.83,25.01,25.2,25.46,25.7
NDSN,194.1,206.33,209.7,214.63,217.84,222.45,227.05
NSC,189.43,198.27,204.17,209.02,214.16,218.12,220.04
NTRS,65.79,67.82,70.18,71.93,75.15,76.76,78.47
NOC,420.3,425.44,429.59,435.09,440.19,444.41,449.78
NCLH,14.39,15.51,16.08,16.35,16.65,17.11,17.38
NRG,34.66,35.89,36.61,39.15,45.02,48.95,50.83
NUE,115.53,121.2,128.33,133.12,139.26,142.23,145.05
NVDA,41.37,43.0,44.67,46.07,47.75,49.46,63.0
NVR,5817.96,6002.44,6146.9,6286.48,6361.13,6936.65,7083.09
NXPI,174.66,184.31,190.37,194.39,197.9,203.29,206.75
ORLY,916.27,928.79,936.02,945.83,956.61,973.7,991.46
OXY,42.16,47.0,48.3,49.6,50.42,51.29,54.27
ODFL,155.11,162.76,171.17,175.31,180.35,182.38,186.48
OMC,71.5,73.56,75.59,76.45,78.37,81.14,82.8
ON,40.69,45.2,53.77,63.91,66.54,68.06,69.33
OKE,55.11,59.06,60.07,61.08,62.55,64.43,65.95
ORCL,102.44,104.92,107.94,110.82,112.63,113.69,114.72
OTIS,78.07,79.89,82.81,84.29,85.29,86.33,88.07
PCAR,74.07,77.15,78.35,79.19,84.02,88.5,90.35
PKG,125.58,138.94,143.82,146.76,150.64,158.96,161.9
PLTR,14.71,15.33,16.0,16.59,17.36,18.2,20.27
PANW,113.39,118.72,121.9,125.03,130.76,140.57,144.46
PARA,10.18,10.33,10.46,10.62,10.77,10.88,11.03
PH,362.74,381.95,389.24,400.56,421.21,448.61,492.18
PAYX,105.48,109.11,112.49,113.81,114.69,115.8,116.68
PAYC,145.47,159.08,163.42,166.97,172.72,179.92,186.44
PYPL,56.39,58.18,58.9,59.7,60.61,61.58,62.17
PNR,59.29,61.79,63.41,65.16,67.54,69.58,72.27
PEP,142.26,145.59,149.67,152.59,155.64,158.9,159.6
PFE,23.09,24.23,24.73,25.1,25.37,25.52,25.69
PCG,15.86,16.13,16.32,16.43,16.57,16.7,16.86
PM,84.05,84.99,85.83,86.48,87.09,87.87,88.7
PSX,90.53,98.15,104.3,106.48,108.84,112.26,115.82
PNW,65.48,66.89,68.29,69.1,70.0,70.81,71.66
PNC,110.94,113.62,115.72,118.72,125.06,139.47,142.82
POOL,304.83,314.29,322.41,328.72,334.73,338.37,341.33
PPG,108.27,112.82,114.52,118.17,121.12,122.38,123.56
PPL,23.16,23.88,24.54,24.8,25.04,25.25,25.73
PFG,65.86,68.21,70.67,71.79,72.98,74.07,75.04
PG,139.42,141.34,143.12,144.89,146.09,147.54,151.15
PGR,124.63,128.22,133.67,149.16,154.57,159.11,176.02
PLD,99.72,102.2,104.21,105.62,107.17,109.23,111.18
PRU,79.09,84.12,86.35,87.55,89.43,95.84,97.46
PEG,55.93,57.06,57.64,58.16,58.71,59.46,60.27
PTC,138.68,140.87,142.86,144.85,147.17,154.95,160.74
PSA,243.07,251.12,255.67,259.85,263.65,266.13,268.61
PHM,71.45,74.77,77.36,81.14,86.64,96.14,101.74
PWR,173.49,183.33,190.15,198.74,201.38,204.75,211.82
QCOM,106.17,108.75,112.03,117.01,124.61,135.39,139.71
DGX,120.65,123.32,125.59,127.38,128.7,130.16,131.4
RL,109.7,112.47,114.12,119.5,125.93,137.29,144.19
RJF,94.33,98.0,101.3,102.92,105.54,107.77,110.13
RTX,72.55,78.78,80.91,82.74,87.0,88.6,91.88
O,46.12,48.76,49.08,49.73,50.24,50.68,51.19
REG,55.42,56.19,56.83,57.19,57.74,58.22,58.85
REGN,597.88,671.74,695.13,714.7,728.95,747.5,777.66
RF,15.1,15.85,16.49,16.95,17.29,17.86,18.15
RSG,141.2,143.36,145.49,148.02,156.38,161.29,170.52
RMD,143.08,150.08,161.31,170.8,178.29,183.06,189.62
RVTY,89.77,94.29,100.91,102.57,104.1,105.54,107.05
ROK,248.91,253.53,257.28,259.43,261.9,264.14,266.34
ROL,36.0,38.14,39.31,40.03,41.18,42.15,42.8
ROP,465.8,479.47,487.76,493.21,508.52,519.19,524.24
ROST,106.68,110.3,112.52,116.56,122.9,129.06,131.36
RCL,87.52,93.95,98.14,101.27,105.05,118.6,122.57
SPGI,362.2,379.01,384.93,390.16,410.18,416.9,422.28
CRM,204.87,207.98,211.39,219.6,225.66,240.38,248.88
SBAC,189.78,193.14,195.24,198.54,202.76,207.12,210.59
SLB,35.11,39.1,40.09,41.08,41.75,42.47,43.04
STX,58.04,60.61,62.52,65.17,69.74,75.67,81.54
SRE,66.2,67.08,67.43,67.88,68.21,68.68,69.16
NOW,548.18,555.8,565.76,588.84,654.17,693.8,716.25
SHW,240.73,250.09,259.62,266.38,271.9,293.37,298.88
SPG,98.45,101.68,105.8,108.48,113.06,132.15,134.77
SWKS,64.8,67.29,82.16,85.99,87.84,89.33,90.62
SJM,103.09,104.96,106.05,107.39,108.26,109.36,110.55
SNA,244.4,249.63,254.17,257.91,259.76,262.03,264.12
SO,63.01,63.77,64.47,65.18,65.79,66.17,66.69
LUV,23.9,25.07,26.12,26.56,27.2,27.64,27.95
SWK,64.66,75.17,78.52,79.94,81.32,82.3,83.64
SBUX,73.46,77.23,80.2,84.37,86.88,88.42,89.32
STT,62.99,64.17,66.19,67.77,68.8,69.51,70.37
STLD,97.75,101.11,102.72,104.53,109.06,111.3,114.36
STE,199.15,203.4,207.15,210.08,213.73,215.09,216.69
SYK,267.32,273.19,279.99,287.37,291.05,294.67,317.42
SMCI,23.41,25.05,26.05,27.1,28.55,29.43,31.03
SYF,28.55,29.78,31.09,32.21,33.26,36.29,37.81
SNPS,428.21,437.69,446.23,451.71,459.01,468.03,487.43
SYY,63.13,66.74,68.0,68.86,69.7,70.3,70.68
TMUS,132.56,134.69,136.79,138.47,144.45,156.12,158.87
TROW,88.51,91.65,93.91,97.18,99.16,100.65,101.68
TTWO,137.5,140.14,141.83,143.68,145.2,147.27,149.96
TPR,26.96,29.57,31.98,35.67,37.54,39.01,39.65
TRGP,70.93,78.29,80.99,81.89,82.99,84.01,85.27
